title,date,content
난 소캐빠도 아니고 디렘 꼬다리는 만족스러움 [5],2021-11-09 17:02:16,"짤에 보이듯이 디렘프로SL 개떡칠 작업과
좌우 밸런스 안맞아서 환불 보냈고

소캐측에서 불량인정 안해서 이걸로 소캐
무진장 깐 이력도 있음

환불 받긴 받았는데 본드 경화 안된 사유로 환불됨

결국 내부 본드가 안굳어 요리조리 돌아댕기며
좌우 밸런스 안맞다는 내 주장은 사실이었음

찍먹으로 DL사서 후레시로 내부 확인하고
정돈된거 확인하고 좌우 밸런스 이상없음 확인후
현재까지 아주 잘 사용하고 있음

디렘 꼬다리는 10월 13일에 수령 받았고
직결보단 확실히 산만함이 줄어들고 정돈된 느낌과
저음이 약간 올라감(아주 드라마틱한 향상은 아님)

이게 또 리얼텍 칩셋으로 까이던데

결론부터 말하자면
디렘 꼬다리 까일 물건은 아닌데?

이 가격대 꼬다리 선택지가 사실
메이주, 삼성, 디렘 이정도 아닌가?"
싱서사원이 a90보단 저음치는맛이 있긴한데 [6],2021-11-09 17:01:19,"대신 a90대비 고음의 미려함이 부족


치는맛 듣고싶을땐 사원이 더좋게 느껴졌고
여보컬 들을땐 a90이 더 나았음


퀄리티는 사실 비슷한거 같고
취향차정도?"
우리동네 우체국 요즘 대한통운보다 느리다 [7],2021-11-09 16:59:48,개빡치네
소캐는 홍보가 좆같은것도 하만도 큰 문제가 아님 [3/1],2021-11-09 16:57:59,qc qc qc qc  qc qc qc qc qc qc qc qc qc qc
여기갤에는 토핑d90se 들어본 사람 없나보네 [2],2021-11-09 16:56:39,아무도 없구나 빠이
소캐꼬다리,2021-11-09 16:55:22,12000원 정도에 팔면 이헤갤 추천픽 가능
Apt x ll이 레이턴시 줄이는대신 음질 포기하는거? [1],2021-11-09 16:55:18,"Apt x ll 이 apt x 보다 레이턴시는 좋은데

음질 떨어지는거??

아님 apt x ll이 apt x보다 음질도좋고 레이턴시도 좋은거??"
알리쿠폰 어제 먹은 놈들은 어케 먹은거냐,2021-11-09 16:54:26,어제 씨발 6시라고 되어있었는데 정작 6시전에 걍 다음날로 넘어가버리던데
ie500pro 랑 비슷한 이어폰 없을까연 [1],2021-11-09 16:51:41,
sa-1 좋네 만족 [16],2021-11-09 16:50:27,"근데 중요한거 하나 알았다
젠더 시팔 구린거 쓰지마
싼거도 아닌데 젠더가 병신이거나
뭐 살때 받은 2.5케이블이 병신이거나
첨에 병신소리 나와서 깜놀했음

암튼 사원 좋다

rnhp 사원 a90 매그니우스

순으로 좋음
써본 리니어 앰프들 중에서 그나마 좀 특색이 있네
그래도 진공관 앰프에 비하면 뎊스도 좀 죽고 
전체적으로 컴프레스된 느낌은 쩔수 없네
저역대는 치는 힘 조금만 더 좋았어도 rnhp보다 맘에 들었을듯"
뭐야 장강파이맨 미국꺼야? [8],2021-11-09 16:49:45,평판 원조맛집이였노;;
